Data source: https://www.kaggle.com/datasets/jacksondivakarr/student-classification-dataset?resource=download

Id	Student_Age	Sex	High_School_Type	Scholarship	Additional_Work	Sports_activity	Transportation	Weekly_Study_Hours	Attendance	Reading	Notes	Listening_in_Class	Project_work	Grade
5031	19	Male	State	100%	Yes	Yes	Bus	0	Always	No	Yes	Yes	No	CC
5032	25	Male	State	50%	Yes	No	Private	0	Always	No	Yes	No	No	BB
5033	19	Female	State	50%	No	No	Private	2	Always	Yes	No	No	Yes	AA
5034	21	Female	State	50%	Yes	No	Bus	0	Always	Yes	Yes	No	No	BA
5035	18	Male	Private	50%	No	No	Bus	2	Always	Yes	No	Yes	No	BA
5036	18	Male	Private	75%	No	No	Private	12	Always	Yes	Yes	No	No	AA
5037	19	Male	Other	75%	Yes	No	Bus	12	Always	Yes	Yes	Yes	Yes	BA
5038	20	Male	State	50%	Yes	Yes	Bus	2	Sometimes	No	No	Yes	Yes	AA
5039	21	Male	State	100%	No	No	Private	0	Always	Yes	No	Yes	Yes	BA
5040	22	Female	State	50%	No	No	Bus	0	Always	No	Yes	Yes	Yes	AA
5041	18	Male	Private	50%	No	No	Private	2	Always	Yes	No	Yes	Yes	AA
5042	24	Male	State	50%	Yes	No	Private	2	Always	No	Yes	No	Yes	AA
5043	21	Male	State	50%	No	Yes	Private	0	Never	No	Yes	No	Yes	AA
5044	18	Male	State	50%	No	No	Bus	0	Always	Yes	No	Yes	No	CB
5045	20	Male	Other	50%	No	No	Bus	0	Always	Yes	Yes	Yes	Yes	AA
5046	18	Male	State	50%	No	No	Bus	8	Always	Yes	No	Yes	No	BB
5047	19	Male	State	50%	No	No	Bus	0	Always	Yes	Yes	No	No	CC
5048	19	Male	State	50%	No	No	Bus	0	Always	No	Yes	Yes	Yes	BB
5049	18	Male	State	50%	No	Yes	Bus	0	Always	No	No	Yes	No	AA
5050	18	Male	Private	75%	No	No	Private	2	Never	Yes	No	Yes	Yes	BA
5051	21	Male	State	50%	No	No	Bus	2	Sometimes	Yes	Yes	Yes	Yes	AA
5052	19	Female	Other	50%	Yes	Yes	Private	0	Always	Yes	Yes	No	No	CB
5053	22	Female	State	50%	Yes	No	Private	2	Always	Yes	Yes	Yes	No	AA
5054	21	Female	State	50%	No	Yes	Private	2	Always	Yes	Yes	Yes	No	CC
5055	21	Male	State	50%	No	No	Private	12	Never	No	Yes	No	Yes	BB
5056	25	Male	State	50%	Yes	No	Bus	8	Always	No	Yes	Yes	No	BB
5057	20	Male	State	50%	No	Yes	Private	0	Always	Yes	Yes	Yes	No	CC
5058	21	Male	State	50%	Yes	Yes	Private	0	Always	Yes	Yes	No	No	CB
5059	23	Male	State	50%	No	No	Bus	12	Always	Yes	Yes	Yes	No	BB
5060	19	Male	State	50%	No	Yes	Bus	0	Always	Yes	Yes	No	No	CC
